ID,EC1,EC2,EC3,EC4,EC5,EC6,SI1,SI2,SI3,SI4,PBC1,PBC2,PBC3,PBC4,PBC5,CNS1,CNS2,CNS3,CNS4,CNS5,CNS6,CNS7,CNS8,GC1,GC2,GC3,GC4,GC5,GC6,GC7,GC8,GC9,GC10,GC11,GC12,GC13,PM1,PM2,PM3,PM4,PM5,Gender,Age,Marital_status,Education,Ethnicity,No_household,Income,Occupation,Work_category,TotalEC,TotalSI,TotalPBC,TotalCNS,TotalGC
1,2,4,4,4,4,4,3,4,3,4,4,3,3,3,4,2,3,4,2,3,2,2,2,4,4,4,4,4,4,4,3,4,3,3,4,3,3,4,5,4,5,2,2,4,5,1,3,2,1,3,14,14,17,20,48
2,4,2,4,5,4,4,3,4,5,5,4,5,5,5,5,4,4,4,4,4,3,3,3,5,5,5,4,4,4,3,4,3,3,4,4,3,3,3,4,5,4,2,3,1,5,1,2,3,1,3,15,17,24,29,51
3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,3,3,2,3,1,4,1,2,2,1,3,16,14,20,30,50
4,3,3,4,3,4,5,2,2,3,3,4,4,4,4,4,3,4,4,3,4,3,2,2,4,4,4,4,3,3,3,3,4,4,3,4,3,5,3,5,5,5,1,3,4,6,1,1,3,1,3,13,10,20,25,46
5,3,2,4,5,5,4,3,4,3,4,3,5,4,4,5,3,3,4,3,3,4,3,3,4,4,4,4,4,3,3,5,5,5,4,4,4,5,4,5,4,5,2,4,1,3,1,3,1,1,2,14,14,21,26,53
6,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,2,3,2,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,5,2,3,3,5,1,2,4,1,5,16,14,20,20,52
7,4,5,5,5,5,4,5,4,4,4,4,4,4,4,5,3,3,4,3,3,4,3,4,5,5,5,4,4,4,3,3,4,5,4,4,3,4,3,5,3,4,2,2,1,4,1,2,2,1,3,19,17,21,27,53
8,3,4,5,5,5,5,4,4,4,3,4,5,5,5,5,4,4,4,4,4,5,4,4,4,4,5,4,3,3,3,4,4,4,4,4,3,4,3,3,4,5,1,3,1,4,1,2,2,1,13,17,15,24,33,49
9,3,3,3,5,5,5,4,4,4,4,5,5,4,4,4,1,3,3,1,1,1,1,1,3,3,3,4,4,4,3,2,2,3,4,5,4,2,2,3,5,5,2,2,4,6,1,1,2,1,5,14,16,22,12,44
10,3,4,4,3,4,3,4,5,5,5,3,4,4,4,4,3,2,2,3,3,3,2,2,4,3,4,3,2,2,2,2,3,3,3,3,2,5,2,5,5,5,1,2,2,6,1,1,2,2,2,14,19,19,20,36
11,3,4,3,4,5,5,3,4,4,3,2,4,4,4,4,2,4,4,4,2,2,2,4,3,3,4,4,4,3,3,3,3,4,4,4,4,4,3,5,3,5,2,2,4,5,1,2,1,3,6,14,14,18,24,46
12,3,4,3,4,5,4,3,3,4,4,2,3,3,4,4,3,3,4,3,3,3,2,3,4,4,3,4,3,3,4,4,3,3,3,2,2,4,3,5,4,5,2,3,1,4,1,2,2,1,2,14,14,16,24,42
13,4,4,4,4,4,4,4,4,3,4,5,5,5,5,4,3,3,4,4,4,4,3,3,5,5,3,4,4,4,3,3,3,3,4,4,4,4,3,4,5,5,2,2,1,5,1,2,3,1,3,16,15,24,28,49
14,4,5,4,3,5,4,3,4,4,3,4,4,3,3,4,3,3,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,3,4,4,4,2,2,1,5,1,2,2,1,2,16,14,18,26,41
15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,2,3,2,5,1,1,2,1,2,16,16,20,32,52
16,4,3,5,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,2,3,2,2,3,3,5,5,3,4,2,5,5,4,2,3,1,5,1,3,2,1,2,17,16,22,28,43
17,5,5,5,5,5,5,4,5,4,4,5,4,2,3,4,4,3,1,4,2,4,2,4,4,2,4,2,4,3,2,3,3,1,3,2,1,2,1,5,5,5,1,4,3,5,2,2,4,2,13,20,17,18,24,34
18,4,5,5,4,5,5,3,3,4,2,2,3,2,4,4,2,2,4,2,2,2,2,2,4,4,2,4,2,2,2,4,2,2,4,2,4,5,2,5,5,5,2,2,4,5,1,2,2,1,2,18,12,15,18,38
19,3,4,4,4,5,5,4,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,4,3,2,4,4,5,2,2,4,5,2,2,1,3,12,15,13,19,24,45
20,4,1,5,5,5,5,2,3,2,2,3,4,4,4,4,2,2,2,2,2,2,1,2,2,3,4,2,2,2,2,3,2,3,3,2,2,1,1,4,2,5,2,2,4,5,2,2,1,3,2,15,9,19,15,32
21,5,4,4,4,5,4,4,4,3,4,3,4,4,4,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,1,1,2,3,3,2,2,4,5,2,3,1,3,2,17,15,18,25,46
22,4,3,4,4,4,3,5,4,3,4,4,4,4,3,3,2,3,3,3,3,2,2,3,4,5,4,5,4,3,3,4,2,2,5,4,3,3,2,4,5,5,2,2,4,5,2,2,1,3,3,15,16,18,21,48
23,4,3,4,4,4,4,3,3,3,4,4,4,4,4,3,3,4,4,3,3,3,2,2,4,4,3,3,3,2,2,2,3,3,4,3,3,1,1,4,3,5,2,1,4,5,2,3,1,3,2,15,13,19,24,39
24,4,3,4,5,5,5,4,3,3,3,4,4,3,3,4,3,2,3,3,3,3,2,3,4,4,3,3,4,3,3,3,3,3,3,4,3,3,2,3,4,5,2,2,4,5,2,3,2,2,2,16,13,18,22,43
25,4,2,4,4,5,4,3,4,3,4,4,4,4,4,4,2,3,4,3,2,3,2,2,4,4,4,4,4,3,4,4,3,4,5,5,5,3,3,2,2,3,2,2,4,5,2,2,2,3,14,14,14,20,21,53
26,4,4,4,3,4,4,3,4,3,3,4,4,4,4,4,2,3,3,2,2,2,2,2,2,4,4,2,2,3,2,2,2,2,2,2,2,4,2,5,3,5,1,2,4,5,2,3,1,3,5,15,13,20,18,31
27,5,2,4,4,4,4,4,3,2,2,4,4,4,5,4,5,4,4,4,3,4,2,2,5,5,5,4,3,3,3,1,2,2,2,4,2,5,3,4,4,5,2,2,4,5,2,2,1,3,14,15,11,21,28,41
28,5,4,5,5,5,5,4,4,3,4,5,5,5,5,5,3,4,3,3,3,4,3,3,5,5,4,4,5,3,3,3,3,2,4,4,3,3,2,2,3,4,1,2,4,5,2,2,1,3,5,19,15,25,26,48
30,4,4,4,4,4,4,4,3,4,4,2,4,4,4,4,3,3,4,4,4,3,2,3,2,2,2,2,3,2,3,3,3,3,3,4,4,3,3,3,4,4,2,3,1,5,1,2,4,1,11,16,15,18,26,36
31,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,1,5,5,5,2,3,1,5,1,2,3,1,14,16,20,25,40,63
32,4,4,4,4,4,4,3,3,2,3,4,3,4,4,3,2,2,2,2,2,2,2,2,4,4,4,2,2,2,2,2,4,4,4,4,4,3,3,3,3,4,2,2,4,5,1,2,2,4,13,16,11,18,16,42
33,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,4,4,2,2,4,5,1,2,3,1,14,16,15,20,25,49
34,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,3,5,4,3,4,4,3,3,3,4,4,4,4,4,3,3,4,4,4,1,3,1,5,1,2,3,2,11,16,16,19,29,49
35,4,4,5,5,5,4,4,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,5,5,4,3,4,3,3,3,3,4,4,3,3,4,3,4,5,5,2,2,1,5,1,2,2,1,14,18,14,16,26,47
36,4,4,5,5,5,4,4,4,3,3,3,3,3,4,3,3,3,4,4,3,3,3,3,5,5,4,3,3,3,3,3,3,4,4,3,3,4,3,4,5,5,2,2,1,5,1,2,2,1,14,18,14,16,26,46
37,5,5,5,5,5,5,4,4,4,4,5,5,5,5,5,4,4,5,4,4,4,3,3,4,4,4,2,4,2,2,4,4,3,4,2,2,5,2,4,2,5,2,2,1,5,1,3,3,1,11,20,16,25,31,41
38,3,4,3,4,4,4,3,3,3,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,3,2,4,2,2,2,2,2,2,2,2,3,1,3,1,3,1,3,2,4,1,2,2,4,13,14,11,20,16,29
39,4,4,3,4,5,5,3,4,4,4,5,5,5,5,5,4,4,5,3,2,3,3,4,2,2,3,2,4,2,2,4,4,2,4,2,2,4,1,4,2,5,2,3,1,5,1,2,3,1,1,15,15,25,28,35
40,3,4,4,4,4,4,5,5,3,3,3,4,3,3,3,2,4,4,3,3,3,2,2,5,5,3,3,5,2,2,2,3,3,1,1,1,2,2,4,4,5,1,3,1,4,1,2,3,4,5,15,16,16,23,36
41,4,5,4,4,5,5,5,5,5,5,5,5,3,3,5,3,4,5,3,5,3,3,3,5,5,5,5,5,5,3,2,2,4,2,2,2,2,2,3,2,4,2,3,1,5,1,2,3,1,2,17,20,21,29,47
42,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,4,1,3,1,2,2,2,14,16,16,20,32,52
43,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,4,2,3,1,5,1,2,2,1,2,16,16,20,32,52
44,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,3,4,1,1,2,2,4,11,17,16,20,32,52
45,2,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,3,4,3,3,3,3,3,5,5,3,4,4,3,3,3,3,3,3,3,3,3,1,3,1,3,2,4,4,5,1,2,5,1,11,14,16,22,26,45
46,4,5,5,5,5,5,4,4,3,3,4,4,4,4,4,3,3,4,3,3,3,3,4,5,5,5,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4,3,3,1,1,2,2,13,19,14,20,26,52
47,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,3,3,1,3,1,5,1,2,3,2,13,16,16,20,30,52
48,4,5,5,5,4,5,5,5,5,4,5,5,5,5,5,2,4,4,1,2,2,1,3,5,5,5,4,5,3,3,1,5,2,5,5,1,4,1,1,5,5,1,2,4,5,2,2,2,3,6,19,19,25,19,49
49,2,4,2,3,4,4,4,4,3,3,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,3,4,3,3,3,3,3,2,2,2,4,2,2,5,3,5,1,2,4,4,2,2,1,3,6,11,14,20,16,40
50,5,3,2,4,5,2,4,5,3,4,1,3,3,4,5,4,2,5,4,3,4,2,3,3,4,2,5,5,2,3,4,3,2,4,4,2,1,1,1,2,2,1,2,4,5,2,3,1,3,6,14,16,16,27,43
51,4,3,4,4,3,4,3,3,4,3,5,4,2,3,3,3,4,5,3,4,3,2,3,4,4,4,4,2,3,3,3,3,3,3,3,3,4,1,3,5,4,1,2,4,5,2,2,1,3,2,15,13,17,27,42
52,4,2,4,3,4,3,2,4,3,3,2,4,2,4,3,2,1,3,3,3,3,2,2,5,4,4,3,3,3,3,3,3,2,2,3,3,4,1,5,3,5,2,2,4,4,2,3,2,4,6,13,12,15,19,41
53,4,2,4,2,4,4,2,4,3,3,4,3,4,3,4,4,3,4,3,3,3,2,3,3,4,4,4,4,4,4,3,4,3,3,3,3,3,1,4,3,4,2,2,4,3,2,2,2,7,6,12,12,18,25,46
54,4,4,4,3,4,4,3,1,2,1,4,4,4,4,4,2,2,4,3,4,3,1,4,4,4,4,3,3,4,2,1,2,4,4,2,2,4,1,3,4,5,2,2,4,5,2,2,2,3,4,15,7,20,23,39
55,3,2,4,4,4,3,3,3,3,2,4,4,4,4,4,1,1,1,2,2,2,1,2,3,4,3,2,3,2,2,2,2,2,2,2,2,3,1,4,3,4,2,2,4,5,2,2,1,3,4,13,11,20,12,31
56,5,2,4,4,4,4,3,4,5,3,3,4,4,4,4,2,4,4,3,3,4,4,4,5,5,5,5,3,3,3,4,4,3,5,5,5,4,2,3,2,5,1,2,4,5,2,2,1,3,14,15,15,19,28,55
57,4,5,4,4,4,4,4,5,4,3,5,5,5,5,5,3,3,4,4,3,3,3,3,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,2,2,4,5,1,2,2,1,4,17,16,25,26,56
58,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,3,2,3,3,4,3,4,4,4,1,4,4,4,1,2,2,4,1,2,1,4,13,16,13,19,24,45
59,3,4,3,3,5,5,3,3,4,4,4,4,4,4,4,2,2,2,3,3,3,2,3,4,4,4,4,4,3,4,3,3,3,4,4,4,4,2,4,3,3,2,4,1,4,1,2,2,7,2,13,14,20,20,48
60,4,4,4,4,4,5,4,3,3,4,4,4,4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,2,2,3,2,4,1,3,1,3,1,2,2,1,11,16,14,21,30,50
61,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,2,2,4,4,1,2,1,3,14,16,16,20,32,52
62,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,5,3,3,5,5,5,3,4,5,3,3,3,4,4,4,4,4,4,3,3,2,2,2,2,4,4,1,1,2,7,7,15,16,20,30,51
63,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,3,3,4,4,3,3,2,3,4,4,4,3,4,3,3,3,3,4,3,3,3,3,3,4,3,3,2,3,1,4,1,2,3,4,7,20,18,22,25,44
64,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,5,5,5,3,1,5,5,5,2,2,2,5,1,2,2,1,7,14,16,20,32,52
65,4,2,4,4,5,4,3,3,3,3,3,4,4,4,4,2,2,3,2,3,3,2,2,5,4,3,3,3,3,2,3,3,3,3,3,3,5,2,5,2,5,1,3,1,5,1,2,3,1,7,14,12,19,19,41
66,5,5,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,2,3,4,5,1,1,2,1,7,19,16,20,32,52
67,3,3,3,4,4,5,3,4,4,4,4,4,4,4,4,2,3,4,3,3,3,3,3,4,4,4,4,3,2,2,4,3,4,4,3,3,3,3,4,4,5,2,2,4,4,1,2,2,2,7,13,15,20,24,44
68,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,2,2,4,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4,2,3,1,5,1,2,3,1,6,15,16,20,18,39
69,3,3,4,4,4,4,3,4,3,3,4,3,3,3,3,2,2,4,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,5,2,2,4,5,1,2,1,1,2,14,13,16,19,28
70,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,4,4,3,5,2,5,5,5,2,2,1,4,1,2,2,2,2,15,16,20,31,48
71,4,4,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,3,4,5,5,4,2,1,4,3,4,2,3,1,5,1,3,2,1,7,16,16,22,31,50
72,5,4,4,4,4,5,4,4,4,5,4,5,5,5,5,4,4,4,4,5,4,5,4,4,4,4,3,3,4,1,3,5,3,4,3,4,3,3,5,3,3,2,2,1,6,1,2,6,5,8,17,17,24,34,45
73,2,4,4,4,4,4,2,2,2,4,4,4,4,4,4,2,2,4,4,2,2,4,4,4,4,4,2,4,2,2,2,4,2,4,4,4,3,2,4,4,4,2,2,4,5,1,2,3,1,2,14,10,20,24,42
74,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,4,4,2,3,1,5,1,1,2,1,2,16,15,20,31,52
75,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,1,3,1,5,1,2,3,1,7,16,15,20,31,52
76,4,4,5,5,5,5,5,5,4,3,3,4,4,4,5,3,2,2,2,2,3,2,3,3,3,2,2,3,2,3,3,3,2,2,2,2,5,2,3,5,3,2,2,4,4,1,3,1,2,8,18,17,20,19,32
77,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,3,2,4,2,3,3,3,3,3,4,4,3,2,4,1,4,1,3,2,1,1,16,16,19,27,44
78,5,4,5,5,5,4,4,5,4,3,3,4,3,3,3,5,5,3,5,4,5,4,3,4,3,5,5,5,5,5,4,4,3,3,3,3,4,4,5,5,5,2,3,1,4,3,3,2,2,1,19,16,16,34,52
79,4,4,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,2,2,2,3,2,2,4,4,3,3,2,3,2,2,3,3,3,4,4,3,2,4,4,4,1,5,1,3,1,3,1,6,14,15,13,15,19,40
80,3,5,5,5,4,5,2,3,3,3,4,3,3,3,4,1,2,2,2,2,2,1,1,5,4,3,4,4,4,3,3,3,2,3,3,3,2,2,2,2,4,1,2,4,5,1,1,2,1,5,18,11,17,13,44
81,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,5,5,2,2,2,5,1,1,2,1,5,16,16,20,32,52
82,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,4,4,2,1,4,1,4,1,3,3,1,1,16,14,19,26,48
83,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,4,4,4,5,5,4,3,4,4,4,4,4,4,2,4,3,2,2,4,4,4,2,2,2,1,1,16,16,20,31,53
84,4,4,5,4,4,5,5,4,5,5,5,5,5,4,5,4,4,4,5,3,4,4,4,5,5,4,4,3,4,4,5,4,4,5,5,4,2,1,1,1,2,2,1,4,3,1,3,1,7,12,17,19,24,32,56
85,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,3,4,4,4,2,3,1,4,1,2,1,2,13,16,16,20,27,46
86,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,3,4,3,3,3,3,3,4,4,3,3,2,4,3,3,2,4,4,3,1,1,2,1,1,16,16,20,25,45
87,3,3,3,3,4,4,4,3,3,4,4,3,4,3,2,2,4,3,3,2,2,2,4,4,4,3,3,2,2,2,2,3,4,4,4,4,4,4,2,2,3,2,4,1,4,2,2,1,2,1,12,14,16,22,41
88,4,4,4,4,4,4,3,3,3,3,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,4,4,4,3,3,4,4,4,4,3,5,3,4,4,5,2,4,1,3,1,3,2,2,1,16,12,25,35,52
89,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,3,3,4,3,4,4,3,2,2,2,5,1,2,2,1,1,15,16,19,28,47
90,4,2,3,3,4,4,4,4,4,3,3,3,3,4,4,2,2,2,2,2,3,2,2,4,4,3,3,3,2,2,2,2,2,4,3,3,4,2,4,4,3,2,2,4,4,1,4,1,2,12,12,15,17,17,37
91,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,4,2,4,1,3,1,2,2,2,1,16,16,20,31,51
92,4,4,5,5,5,4,3,3,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,5,2,3,1,3,1,2,2,7,14,18,14,20,29,52
93,4,5,4,5,4,4,3,3,4,3,4,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,5,4,5,2,2,4,4,1,2,1,2,1,18,13,20,25,50
